entity_id,entity_type,entity_name,description,regulation_reference,definition_or_spec
TST003,Test,振动试验,振动特性测试,33.43/33.83,确定振动特性和应力
TST004,Test,校准试验,功率特性校准,33.45/33.85,确定持久试验条件
TST005,Test,爆震试验,爆震验证,33.47,确定无不爆震工作状态
TST006,Test,工作试验,工作特性验证,33.51/33.89,回火、起动、慢车、加速等
TST007,Test,发动机系统和部件试验,系统部件验证,33.53/33.91,温度限制等
TST008,Test,分解检查,试验后分解,33.55/33.93,验证符合型号设计
TST009,Test,150小时持久试验,涡轮发动机持久试验,33.87,25次6小时循环
TST010,Test,发动机超温试验,超温验证,33.88,5分钟；限制温度+42°C
TST011,Test,初始维修检查,维修时限确定,33.90,确定初次维修时限
TST012,Test,转子锁定试验,锁定装置验证,33.92,25次试验
TST013,Test,叶片包容性试验,叶片包容验证,33.94,15秒不着火
TST014,Test,转子不平衡试验,不平衡验证,33.94,验证包容性
TST015,Test,发动机-螺旋桨系统试验,螺旋桨系统验证,33.95,175次负拉力等试验
TST016,Test,APU方式试验,辅助动力试验,33.96,400次循环
TST017,Test,反推力装置试验,反推验证,33.97,175次慢车到最大反推
TST018,Test,吸鸟试验-大鸟,大鸟撞击验证,33.76.b,15秒不移动功率杆
TST019,Test,吸鸟试验-中鸟,中鸟撞击验证,33.76.c,持续损失不超过25%
TST020,Test,吸鸟试验-群鸟,群鸟撞击验证,33.76.d,200海里/小时
TST021,Test,吸冰试验,冰吸入验证,33.77,最大巡航功率
TST022,Test,吸雨试验,雨吸入验证,33.78,3分钟降雨
TST023,Test,吸雹试验,雹吸入验证,33.78,30秒降雹
TST024,Test,ETOPS任务循环持久试验,ETOPS验证,33.201.c,3000次起动-停车循环
TST025,Test,发动机超扭试验,超扭验证,33.84,15分钟
PRM001,Parameter,最大允许转速,转速限制,33.27.c,超转试验基准
PRM002,Parameter,120%转速,超转试验条件,33.27.c.2.i,试验台试验要求
PRM003,Parameter,115%转速,超转试验条件,33.27.c.2.ii,发动机试验要求
PRM004,Parameter,105%转速,超转试验条件,33.27.c.2.v,致命失效时要求
PRM005,Parameter,最大工作温度,温度限制,33.27.c.1,超转试验温度条件
PRM006,Parameter,限制载荷,载荷要求,33.22/33.43,无永久变形
PRM007,Parameter,极限载荷,载荷要求,33.22,无破坏
PRM008,Parameter,额定最大连续功率,功率额定值,33.7.b/33.7.c,活塞/涡轮发动机
PRM009,Parameter,额定起飞功率,功率额定值,33.7.b/33.7.c,活塞/涡轮发动机
PRM010,Parameter,30秒OEI功率,功率额定值,33.7.c,旋翼航空器
PRM011,Parameter,2分钟OEI功率,功率额定值,33.7.c,旋翼航空器
PRM012,Parameter,2.5分钟OEI功率,功率额定值,33.7.c,旋翼航空器
PRM013,Parameter,连续OEI功率,功率额定值,33.7.c,旋翼航空器
PRM014,Parameter,滑油进口温度,温度限制,33.7.b.4/33.7.c.5,±5.5°C控制
PRM015,Parameter,气缸温度,温度限制,33.7.b.4,活塞发动机
PRM016,Parameter,燃油进口压力,压力限制,33.7.b.5/33.7.c.6,需规定
PRM017,Parameter,主滑油腔压力,压力限制,33.7.b.5,活塞发动机
PRM018,Parameter,限制温度+42°C,超温值,33.88,超温试验条件
PRM019,Parameter,限制温度+19°C,OEI超温值,33.88,OEI超温试验
PRM020,Parameter,起动-停车应力循环次数,循环寿命,33.7.c.12,盘和隔圈
PRM021,Parameter,瞬时超转转速,超转限制,33.7.c.14,需规定次数
PRM022,Parameter,瞬时超温温度,超温限制,33.7.c.15,需规定次数
PRM023,Parameter,1秒响应,推力响应时间,33.73.a,最小到最大位置
PRM024,Parameter,5秒响应,推力响应时间,33.73.b,到95%起飞推力
PRM025,Parameter,23.7升,油箱容量,33.17.c,湿油池例外
PRM026,Parameter,5p.s.i.,压力值,33.71.c.9/33.64,滑油箱/静承压件
PRM027,Parameter,10%膨胀空间,油箱空间,33.71.c.1,滑油箱
PRM028,Parameter,370公里/小时,鸟投射速度,33.76.b,大鸟试验
PRM029,Parameter,200海里/小时,群鸟投射速度,33.76.d,群鸟试验
PRM030,Parameter,90%起飞功率,群鸟试验状态,33.76.d,群鸟吸入
PRM031,Parameter,1.15kg,大鸟重量,33.76.b,小进气道
PRM032,Parameter,5.44kg,大鸟重量,33.76.b,大进气道
PRM033,Parameter,450g,中鸟重量,33.76.c,中鸟试验
PRM034,Parameter,680g,中鸟重量,33.76.c,中鸟试验
PRM035,Parameter,85g,小鸟重量,33.76.c,小鸟试验
PRM036,Parameter,25毫米,雹直径,33.78,小雹
PRM037,Parameter,50毫米,雹直径,33.78,大雹
PRM038,Parameter,0.3克/立方米,液态水含量,33.68,结冰试验
PRM039,Parameter,20微米,水珠直径,33.68,结冰试验
PRM040,Parameter,-9°C~-1°C,结冰温度,33.68,地面慢车结冰试验
PRM041,Parameter,-4°C,吸冰温度,33.77.e,吸冰试验
PRM042,Parameter,3分钟,降雨时间,33.78,吸雨试验
PRM043,Parameter,30秒,降雹时间,33.78,吸雹试验
PRM044,Parameter,4%,水滴流量比,33.78.b,旋翼航空器
PRM045,Parameter,15秒,鸟吸入后时间,33.76.b,不移动功率杆
PRM046,Parameter,3000次,ETOPS循环数,33.201.c.1,起动-停车
PRM047,Parameter,三百万次,高压转子振动循环,33.201.c.3,ETOPS试验
PRM048,Parameter,30万次,工作转速振动循环,33.201.c.4,ETOPS试验
PRM049,Parameter,103%,转速上限,33.43/33.83,振动试验范围
PRM050,Parameter,110%,转速上限,33.43,振动试验范围（活塞）
FLM001,FailureMode,LOTC,失去推力控制,33.28.d,发生率与安全目标一致
FLM002,FailureMode,LOPC,失去功率控制,33.28.d,发生率与安全目标一致
FLM003,FailureMode,转子叶片失效,叶片故障,33.19/33.94,需包容性
FLM004,FailureMode,单点失效,单一故障,33.28.d,不得导致危害性后果
FLM005,FailureMode,喘振,压气机喘振,33.65,不得导致熄火/失效/超温
FLM006,FailureMode,失速,压气机失速,33.65,不得导致熄火/失效/超温
FLM007,FailureMode,爆震,燃烧爆震,33.47,不得发生
FLM008,FailureMode,超转,转速超限,33.27/33.28.f,需保护系统
FLM009,FailureMode,超温,温度超限,33.28.f/33.88,需保护系统
FLM010,FailureMode,液锁,液体锁死,33.35.d,进气系统需可放泄
FLM011,FailureMode,着火,火灾,33.17,可能性减至最小
FLM012,FailureMode,内部着火,涡轮内火,33.17.a,导致结构失效可能性减至最小
FLM013,FailureMode,振动过大,过度振动,33.33/33.63,零部件应力/振动力限制
FLM014,FailureMode,结冰积聚,积冰,33.35.b/33.68,危险性减至最小
FLM015,FailureMode,熄火,火焰熄灭,33.65,喘振/失速不得导致
FLM016,FailureMode,降转,转速下降,33.78,吸雨吸雹不得导致
FLM017,FailureMode,数据丢失,数据失效,33.28.h,飞机提供数据
FLM018,FailureMode,电源中断,电源失效,33.28.i,飞机提供电源
FLM019,FailureMode,管路堵塞,堵塞故障,33.28.j,空气压力信号
FLM020,FailureMode,管路泄漏,泄漏故障,33.28.j,空气压力信号
FLM021,FailureMode,仪表错接,连接错误,33.29.a,需标记或防错设计
HZE001,HazardousEffect,非包容的高能碎片,碎片穿透,33.75.g.2,危害性发动机后果
HZE002,HazardousEffect,客舱引气中有毒物质,毒性气体,33.75.g.2,使机组/乘客失去能力
HZE003,HazardousEffect,与驾驶员命令相反的较大推力,反向推力,33.75.g.2,危害性发动机后果
HZE004,HazardousEffect,不可控火情,火灾失控,33.75.g.2,危害性发动机后果
HZE005,HazardousEffect,发动机安装系统失效导致脱开,发动机脱落,33.75.g.2,危害性发动机后果
HZE006,HazardousEffect,发动机引起的螺旋桨脱开,螺旋桨脱落,33.75.g.2,危害性发动机后果
HZE007,HazardousEffect,完全失去发动机停车能力,无法停车,33.75.g.2,危害性发动机后果
REG001,Regulation,33.1,适用范围,A章,规定颁发和更改型号合格证的适航标准
REG002,Regulation,33.3,概述,A章,申请人表明符合要求
REG003,Regulation,33.4,持续适航文件,A章,根据附件A编制
REG004,Regulation,33.5,发动机安装和使用说明手册,A章,包括安装说明、使用说明、安全分析假设
REG005,Regulation,33.7,发动机额定值和使用限制,A章,活塞/涡轮发动机额定值因素
REG006,Regulation,33.8,发动机功率和推力额定值的选定,A章,选定最低功率/推力
REG007,Regulation,33.11,适用范围,B章,设计与构造总则
REG008,Regulation,33.13,备用,B章,保留条款
REG009,Regulation,33.14,删除,B章,已删除
REG010,Regulation,33.15,材料,B章,材料适用性和耐久性要求
REG011,Regulation,33.17,防火,B章,防火设计和材料要求
REG012,Regulation,33.19,耐用性,B章,不安全状态最小化
REG013,Regulation,33.21,发动机冷却,B章,提供必要冷却
REG014,Regulation,33.22,发动机的安装构件和结构,B章,载荷要求
REG015,Regulation,33.23,附件连接装置,B章,密封和更换要求
REG016,Regulation,33.27,涡轮、压气机、风扇和涡轮增压器转子,B章,超转试验
REG017,Regulation,33.28,发动机控制系统,B章,控制系统验证和安全评估
REG018,Regulation,33.29,仪表连接,B章,仪表连接和监测要求
REG019,Regulation,33.31,适用范围,C章,活塞发动机设计与构造
REG020,Regulation,33.33,振动,C章,活塞发动机振动要求
REG021,Regulation,33.34,涡轮增压器转子,C章,包容性要求
REG022,Regulation,33.35,燃油和进气系统,C章,燃油、进气、结冰防护
REG023,Regulation,33.37,点火系统,C章,双点火系统要求
REG024,Regulation,33.39,润滑系统,C章,润滑系统工作条件
REG025,Regulation,33.41,适用范围,D章,活塞发动机台架试验
REG026,Regulation,33.42,概述,D章,确定调整位置
REG027,Regulation,33.43,振动试验,D章,振动测试和应力要求
REG028,Regulation,33.45,校准试验,D章,确定功率特性
REG029,Regulation,33.47,爆震试验,D章,确定无爆震工作范围
REG030,Regulation,33.49,持久试验,D章,150小时持久试验
REG031,Regulation,33.51,工作试验,D章,工作特性验证
REG032,Regulation,33.53,发动机系统和部件试验,D章,系统部件验证
REG033,Regulation,33.55,分解检查,D章,试验后分解检查
REG034,Regulation,33.57,台架试验的一般实施,D章,多台试验和维护
REG035,Regulation,33.61,适用范围,E章,涡轮发动机设计与构造
REG036,Regulation,33.62,应力分析,E章,转子安全裕度
REG037,Regulation,33.63,振动,E章,涡轮发动机振动要求
REG038,Regulation,33.64,发动机静承压件,E章,静子零件压力试验
REG039,Regulation,33.65,喘振和失速特性,E章,不得导致危害性后果
REG040,Regulation,33.66,引气系统,E章,引气不得有不利影响
REG041,Regulation,33.67,燃油系统,E章,燃油供给和过滤
REG042,Regulation,33.68,进气系统的结冰,E章,结冰条件试验
REG043,Regulation,33.69,点火系统,E章,至少二个点火器
REG044,Regulation,33.70,发动机限寿件,E章,限寿件管理
REG045,Regulation,33.71,润滑系统,E章,润滑系统详细要求
REG046,Regulation,33.72,液压作动系统,E章,液压系统要求
REG047,Regulation,33.73,功率或推力响应,E章,1秒/5秒响应
REG048,Regulation,33.74,持续转动,E章,持续转动不得导致危害
REG049,Regulation,33.75,安全分析,E章,失效分析和概率要求
REG050,Regulation,33.76,吸鸟,E章,大鸟/中鸟/群鸟试验
REG051,Regulation,33.77,外物吸入-冰,E章,吸冰试验
REG052,Regulation,33.78,吸雨和吸雹,E章,吸雨吸雹试验
REG053,Regulation,33.79,燃烧燃料加力装置,E章,加力装置要求
REG054,Regulation,33.81,适用范围,F章,涡轮发动机台架试验
REG055,Regulation,33.82,概述,F章,确定调整位置
REG056,Regulation,33.83,振动试验,F章,振动特性确定
REG057,Regulation,33.84,发动机超扭试验,F章,15分钟超扭试验
REG058,Regulation,33.85,校准试验,F章,确定功率特性
REG059,Regulation,33.87,持久试验,F章,150小时持久试验
REG060,Regulation,33.88,发动机超温试验,F章,5分钟超温试验
REG061,Regulation,33.89,工作试验,F章,工作特性验证
REG062,Regulation,33.90,初始维修检查,F章,维修时限确定
REG063,Regulation,33.91,发动机系统和部件试验,F章,系统部件验证
REG064,Regulation,33.92,转子锁定试验,F章,锁定装置试验
REG065,Regulation,33.93,分解检查,F章,试验后分解检查
REG066,Regulation,33.94,叶片包容性和转子不平衡试验,F章,包容性试验
REG067,Regulation,33.95,发动机-螺旋桨系统试验,F章,螺旋桨系统试验
REG068,Regulation,33.96,以辅助动力装置方式工作的发动机试验,F章,APU方式试验
REG069,Regulation,33.97,反推力装置,F章,反推力试验
REG070,Regulation,33.201,早期ETOPS资格的设计和试验要求,G章,ETOPS设计和试验
REG071,Regulation,附件A,持续适航文件,H章,持续适航文件要求
